order_id,date,customer_id,customer_name,category,product,region,channel,unit_price,quantity,discount,revenue
ORD-12298,2021-01-01,CUST-1974,Brandy Raymond,Electronics,Electronics Product 33,Central,Online,402.72,9,0.15,3080.81
ORD-15888,2021-01-01,CUST-2561,Margaret Smith,Clothing,Clothing Product 22,East,Online,41.66,9,0.2,299.95
ORD-18339,2021-01-01,CUST-4143,Thomas Davis,Food & Beverages,Food & Beverages Product 29,North,Wholesale,76.95,11,0.05,804.13
ORD-12095,2021-01-02,CUST-2087,Ray Turner,Sports,Sports Product 47,East,Online,106.79,2,0.0,213.58
ORD-12772,2021-01-02,CUST-3334,Adam Evans,Food & Beverages,Food & Beverages Product 33,South,Wholesale,80.49,1,0.05,76.47
ORD-14510,2021-01-02,CUST-1868,Ryan Wood,Food & Beverages,Food & Beverages Product 31,West,Retail,60.8,7,0.0,425.6
ORD-16721,2021-01-02,CUST-1760,Amber Nichols,Clothing,Clothing Product 7,South,Retail,158.21,8,0.05,1202.4
ORD-17043,2021-01-02,CUST-1774,Susan Williams,Food & Beverages,Food & Beverages Product 41,South,Online,37.44,11,0.2,329.47
ORD-17816,2021-01-02,CUST-4647,Justin Williams,Food & Beverages,Food & Beverages Product 8,North,Wholesale,58.85,2,0.0,117.7
ORD-19251,2021-01-02,CUST-4075,Shannon Anderson,Clothing,Clothing Product 20,West,Online,253.4,6,0.1,1368.36
ORD-19415,2021-01-02,CUST-4979,Christopher Robinson,Home & Garden,Home & Garden Product 27,West,Online,62.37,11,0.2,548.86
ORD-14959,2021-01-03,CUST-1277,Eric Jacobs,Electronics,Electronics Product 17,South,Retail,993.84,11,0.05,10385.63
ORD-10759,2021-01-04,CUST-4020,Katie White,Clothing,Clothing Product 14,East,Online,26.72,2,0.0,53.44
ORD-12784,2021-01-04,CUST-4788,Laurie Faulkner,Clothing,Clothing Product 27,Central,Wholesale,174.88,8,0.05,1329.09
ORD-13938,2021-01-04,CUST-4768,Roberto Velazquez,Home & Garden,Home & Garden Product 19,North,Online,411.26,11,0.15,3845.28
ORD-17525,2021-01-04,CUST-1674,Michael Flores,Food & Beverages,Food & Beverages Product 7,West,Online,7.91,12,0.2,75.94
ORD-19795,2021-01-04,CUST-2589,Jeffrey Miller,Sports,Sports Product 13,Central,Retail,319.77,13,0.05,3949.16
ORD-13451,2021-01-05,CUST-2992,Katelyn Ramirez,Home & Garden,Home & Garden Product 47,East,Online,524.75,3,0.1,1416.83
ORD-17982,2021-01-05,CUST-4058,John Anderson,Electronics,Electronics Product 43,Central,Online,1077.52,10,0.15,9158.92
ORD-12376,2021-01-06,CUST-1286,Kenneth Chambers,Sports,Sports Product 11,Central,Retail,298.39,4,0.15,1014.53
